697 asdfeg tewgtwwe wetwerwe  7.6160000000000002E+002 62 50
463 asdfeg tewgtwwe wetwerwe  6.7839999999999998E+002 93 74
105 asdfeg tewgtwwe wetwerwe  6.5599999999999994E+001 69 48
832 asdfeg tewgtwwe wetwerwe  6.5839999999999998E+002 71 15
132 asdfeg tewgtwwe wetwerwe  5.9439999999999998E+002 91 78
935 asdfeg tewgtwwe wetwerwe  5.0880000000000001E+002 60 11
225 asdfeg tewgtwwe wetwerwe  8.0000000000000004E-001 66 73
560 asdfeg tewgtwwe wetwerwe  6.5279999999999995E+002 95 56
715 asdfeg tewgtwwe wetwerwe  6.0960000000000002E+002 97 26
272 asdfeg tewgtwwe wetwerwe  7.3520000000000005E+002 55 77
905 asdfeg tewgtwwe wetwerwe  5.2960000000000002E+002 96 43
